architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
MC-EGNN,matched-compute-MID,MID,1024,128,rho_0.0001,0.0001,common,0.14493687274883366,0.15855810229937153,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,128,rho_0.01,0.01,common,0.16441161556053757,0.18313640663583833,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,128,rho_0.1,0.1,common,0.25198452426666634,0.2666383944702367,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,128,rho_1e-06,1e-06,common,0.14570033008575012,0.15775749207958742,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,128,rho_1e-08,1e-08,common,0.14606189466951575,0.15750559658005794,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,128,ridgeless,0.0,common,0.14612865658674545,0.1573838266632897,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,256,rho_0.0001,0.0001,common,0.07090777399043434,0.08019243748028981,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,256,rho_0.01,0.01,common,0.08266555154112275,0.09363529853269313,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,256,rho_0.1,0.1,common,0.13192171896394722,0.14428934447587602,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,256,rho_1e-06,1e-06,common,0.07066372394997958,0.07925143167511205,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,256,rho_1e-08,1e-08,common,0.07096602414272925,0.07944711373798974,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,256,ridgeless,0.0,common,0.07122653432806597,0.07931867841146184,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,512,rho_0.0001,0.0001,common,0.04103908950588564,0.04675027964092842,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,512,rho_0.01,0.01,common,0.045412933776864256,0.05186024272502301,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,512,rho_0.1,0.1,common,0.06714186140453192,0.07470840907893579,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,512,rho_1e-06,1e-06,common,0.04126793141383402,0.04698423270820533,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,512,rho_1e-08,1e-08,common,0.04169285069141543,0.047267854100084696,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-MID,MID,1024,512,ridgeless,0.0,common,0.04137749915753784,0.04707706461907319,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,32,rho_0.0001,0.0001,common,0.28985116340789163,0.27992836896869683,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,32,rho_0.01,0.01,common,0.3211061990509976,0.3137866300682922,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,32,rho_0.1,0.1,common,0.4560616813546483,0.4189846500260474,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,32,rho_1e-06,1e-06,common,0.288913422356525,0.2790984287459818,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,32,rho_1e-08,1e-08,common,0.2888948545625326,0.2790886218242808,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,32,ridgeless,0.0,common,0.2888946645304583,0.2790885224612456,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,64,rho_0.0001,0.0001,common,0.1201015328181542,0.1351398246260201,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,64,rho_0.01,0.01,common,0.14320130337448236,0.15422124103568274,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,64,rho_0.1,0.1,common,0.20917327641371686,0.2185405084285313,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,64,rho_1e-06,1e-06,common,0.11969909355395579,0.1346391315293878,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,64,rho_1e-08,1e-08,common,0.11969490861837875,0.13463143036342026,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,64,ridgeless,0.0,common,0.11969486632581158,0.1346313490412709,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,128,rho_0.0001,0.0001,common,0.05459557498053513,0.06352140037972198,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,128,rho_0.01,0.01,common,0.06246303010690382,0.07307530178089774,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,128,rho_0.1,0.1,common,0.09081184351258709,0.10263127366324953,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,128,rho_1e-06,1e-06,common,0.05422066348317797,0.06320969282299513,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,128,rho_1e-08,1e-08,common,0.05421208734040671,0.06320213499466033,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,128,ridgeless,0.0,common,0.05421199856541202,0.0632020505947809,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,256,rho_0.0001,0.0001,common,0.01256433119382428,0.024625123479774164,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,256,rho_0.01,0.01,common,0.01507295691217932,0.02920427492993339,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,256,rho_0.1,0.1,common,0.02383515805256245,0.039872222259676376,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,256,rho_1e-06,1e-06,common,0.012366919791099735,0.02437258263013818,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
eSEN,matched-compute-HIGH,HIGH,1024,256,rho_1e-08,1e-08,common,0.01235620733173313,0.02436350872218965,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
