architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
GemNet-OC,dense-grid-CROSS,CROSS,1024,256,rho_1e-08,1e-08,common,0.005809798554782496,0.005905580161341411,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,256,ridgeless,0.0,common,0.005813241840161675,0.0058680631081652465,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,512,rho_0.0001,0.0001,common,0.004689118381963422,0.00491313643264083,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,512,rho_0.01,0.01,common,0.004561667983419304,0.004525470691432917,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,512,rho_0.1,0.1,common,0.004512892020613751,0.004464079926816537,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,512,rho_1e-06,1e-06,common,0.004724621078133406,0.004926416773733546,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,512,rho_1e-08,1e-08,common,0.0046944408031247414,0.004945352086934847,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
GemNet-OC,dense-grid-CROSS,CROSS,1024,512,ridgeless,0.0,common,0.004680104786713827,0.004919958541481176,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,32,rho_0.0001,0.0001,common,0.8999975323796916,0.870400955718676,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,32,rho_0.01,0.01,common,0.902260553954704,0.8721806470443667,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,32,rho_0.1,0.1,common,0.9097835954505455,0.8838306924527373,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,32,rho_1e-06,1e-06,common,0.8999728058742479,0.8703822547245078,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,32,rho_1e-08,1e-08,common,0.899972558497067,0.8703820676154572,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,32,ridgeless,0.0,common,0.8999725559982963,0.870382065725457,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,64,rho_0.0001,0.0001,common,0.7289733127290494,0.6997768272536444,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,64,rho_0.01,0.01,common,0.731545093457372,0.7029927339361794,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,64,rho_0.1,0.1,common,0.7503332215800507,0.7258138350226445,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,64,rho_1e-06,1e-06,common,0.7289467698968954,0.6997434376875695,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,64,rho_1e-08,1e-08,common,0.7289465043780701,0.699743103656452,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,64,ridgeless,0.0,common,0.7289465016960526,0.6997431002823868,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,128,rho_0.0001,0.0001,common,0.47498671156936734,0.47008047341166037,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,128,rho_0.01,0.01,common,0.47498216402532695,0.47442687098204434,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,128,rho_0.1,0.1,common,0.49601771818985785,0.5052807534693274,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,128,rho_1e-06,1e-06,common,0.4749876086593141,0.4700352882987936,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,128,rho_1e-08,1e-08,common,0.47498761771908676,0.47003483625785847,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,128,ridgeless,0.0,common,0.4749876178106074,0.47003483169176913,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,256,rho_0.0001,0.0001,common,0.29042350854470794,0.2981536024743321,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,256,rho_0.01,0.01,common,0.2929726848921588,0.3003855369808985,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,256,rho_0.1,0.1,common,0.30784300401972675,0.3197336120357119,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,256,rho_1e-06,1e-06,common,0.29039828788846744,0.2981319315529322,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,256,rho_1e-08,1e-08,common,0.29039803574042133,0.2981317149558613,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,256,ridgeless,0.0,common,0.29039803319347735,0.2981317127680233,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,512,rho_0.0001,0.0001,common,0.21062781351761686,0.2324981209075257,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,512,rho_0.01,0.01,common,0.20986699819703392,0.2309865576185651,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MPNN,dense-grid-CROSS,CROSS,1024,512,rho_0.1,0.1,common,0.21268505355924247,0.23285066707286844,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
